danmaku_id,content,progress,ctime,user_hash
2057369180918970624,啊这是人类呀,331.358,1772348718,7aa810ad
2061566806447496704,到下面有可能因为气压直接变成三具尸体,284.0,1772849114,5f601740
2061582521581982464,结果返回舱也有故障是吧,110.771,1772850987,3146f9e0
2061582825744451840,无敌了,143.963,1772851023,3146f9e0
2063737170787350016,夺少？！,35.467,1773107841,3689c8a1
2063737786620018432,科马罗夫真男人,89.007,1773107915,3689c8a1
2066123925041234944,难！得！有！几！个！真！兄！弟！,58.884,1773392365,90657ad2
2071394635179625984,现在的纪录应该是玄冥二老创立的吧,243.372,1774020682,fb418bde
2072552139460578816,还有高手？,189.666,1774158668,5ed4fed0
2076359473416731392,致敬,15.082,1774612537,dc55bba0
2076860169186939136,这才是世界上最绝望的死法。,125.011,1774672225,77e65a1
2078547801147150080,这才真正的朋友,73.068,1774873406,bd01b5c
2081415642934010624,这个最惨,15.699,1775215280,b108512b
2082166478186412544,变导弹了要。,146.231,1775304786,4a38b0dd
2082172877419649536,666居然是不爱黄金只爱兄弟真男人,64.3,1775305549,e284e618
2082225251735378176,伞没开,118.198,1775311792,d6c11a48
2082225835901375232,这就是为什么联盟号所有人都要穿宇航服,225.931,1775311862,d6c11a48
2082390276601143040,嗯事实就是宇航员的尸体根本找不到，被烧焦的都成炭灰了。,183.094,1775331465,7b82c955
2082567138874900224,不是还有阿波罗1号吗？,18.185,1775352549,c22688a8
2082919173814167296,下降还需要加速吗,124.074,1775394514,7fb95cd3
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
1969545907863256832,致敬,504.805,1761879368,260094e8
1969763741507558912,你的意思是说，他们是看着自己死的？,506.838,1761905336,25a9c979
1969767873400383488,然后航天飞机又炸了，导致完全弃用退役,539.92,1761905828,21475bbb
1969879768296280576,麦考利夫,381.986,1761919167,baa3ec8
1969890982439129856,(◐‿◑)﻿,611.936,1761920504,819c2bb5
1969914580398248192,这个在任务途中被发现故障，并确定宇航员将在返回途中去世,553.933,1761923317,55395003
1969943602834664448,据说是NASA认为已经无解了，按下不表至少宇航员可以走得安详一点,635.366,1761926777,d2edd69c
1969961804562740736,很多灾祸都是外行指导内行导致的,449.456,1761928947,22327793
1969963418002230272,太经典了,441.347,1761929139,e1be96cc
1969963716175325952,经典不听专业人员的话,450.605,1761929175,e1be96cc
1970015787586571008,搞笑的舆论压力,443.794,1761935382,100d6307
1970087619001918720,一个宇航员还是我大学校友，学校里还有纪念碑,402.6,1761943945,23d6a045
1970161346200915968,固推和燃料箱咋还在,662.037,1761952734,d54827cf
1970186300707911680,这个还挺出名的,377.213,1761955709,140f994
1970186347264551168,是个球球《伟大的悲剧》...这是讲南极科考事故的,402.055,1761955714,26284829
1970192529701912576,经验从血泪中得到,372.878,1761956451,75667321
1970214409070902528,鬼冢是日本姓氏，可能是日裔,398.547,1761959059,61f3df57
1970236350926432256,特别绝望了,509.511,1761961675,8fed94a8
1970258608998984960,好多尔,560.436,1761964329,99171811
1970259988975426816,有鬼,698.396,1761964493,99171811
1970269894318813952,经典人死也不能延误,442.939,1761965674,3b0c0a70
1970276666291269120,666，反向证明是吧,437.74,1761966481,ae12ed8a
1970316468768049920,道具赛,575.893,1761971226,830ad618
1970358631296371200,大部分都是可避免的事故 ,561.568,1761976252,29461602
1971153640018841600,5000华氏度等于2760摄氏度，2760摄氏度相当于太阳表面温度的一半（太阳表面约5500摄氏度）,478.274,1762071025,1335a1ae
1971252103083587840,这个七年级下册杨利伟的课文里有提到,563.736,1762082762,7e9ecab7
1971619399585162752,助推器炸了,409.493,1762126547,1ff57344
1971939423839566080,但也是生命，太可惜了,361.428,1762164697,ab83d6e8
1972147368673519616,你是怎么知道美国不管的啊？,372.653,1762189486,544e0741
1973430592436204544,这才是世界上最绝望的死法,501.837,1762342458,8124ded9
1973542795428025856,迟到十年的太空授课,396.729,1762355834,d91fda43
1974244200111611648,没,696.32,1762439448,83cde66d
1974777746895125504,哥伦比亚号航天飞机,377.429,1762503052,5a9cd1e1
1974853696748269824,有人吗,424.056,1762512106,82c11f48
1975023274916317696,太空不是很冷吗？为什么这点温度就能让橡胶变形？,425.85,1762532321,be615573
1975529430302420992,降落伞呢？,526.396,1762592659,bd364058
1977074130466126848,666,434.969,1762776802,32049e7e
1977772314469127936,无论迫于谁的压力，不都是一个意思？都是不尊重科学不理性的表现而已,449.634,1762860032,657f5d1c
1977933762558148608,？？？？,616.23,1762879278,68e4c41d
1978536390786556672,前面的那个(协和)是被DC-10的金属条打中油箱烧到电路才起火的啊，哪里像了,480.871,1762951117,d23cce61
1978830572659287552,经典头痛医头，脚痛医脚,534.94,1762986186,ca4740e4
1979928377289059072,不能在人身上找原因么,539.701,1763117055,78f56fdc
1980384566979889152,好，压力没有啦，直接被问责吧,527.996,1763171437,57ac4f11
1981443157426236928,错误决策害死人啊，没有人被问责吗？,532.326,1763297631,ac699ac
1982875881030498048,助推器还没到太空就已经分离了,441.616,1763468425,dc717b43
1990564336582232064,能的兄弟能的，高层大气光是平常的温度就超过1000了,688.012,1764384960,1b5402b3
1990783024480700160,主包懒得改了,671.289,1764411029,88455f98
1990789903969333760,前面的航天飞机并不是用降落伞返回，而是降落在航天基地的跑道上,532.327,1764411850,8647dc24
1990790572876822272,波音公司不是造飞机的吗？怎么开始造火箭了？,602.024,1764411929,8647dc24
1993248280536368896,当时看了直播间哥伦比亚号,657.735,1764704911,fb093518
2008695205847151872,你专业还是我专业 我蚌埠住了,446.499,1766546328,32fee214
2008978589458632704,这是我最难忘的一个事故，我记得哥伦比亚号好想还没有碰到地面就变成碎片了…,631.721,1766580110,a8f4265e
2010991107768741120, 死的原因是没有降落伞,537.142,1766820021,c9e47d44
2013879027739524608,这才是世界上最绝望的死法,516.034,1767164288,bd784dd
2014737093125467136,航天飞机太重了，降落伞撑不住，只能在降落在跑道的时候用减速伞,540.124,1767266577,39195be4
2014738055382608896,那不能在轨道上等待救援嘛？,618.479,1767266692,39195be4
2015956098620281600,没一个画面严谨的呀,674.474,1767411894,695e63cd
2026337738060250624,怎么记得是1968年的？,390.261,1768649482,63f30395
2027895596148983040,符合音乐,519.37,1768835193,d990394f
2029976269081043712,就像诺贝利合作过发生26天,375.309,1769083228,fa4235c1
2035866146435241984,有一个,429.289,1769785356,a1ecea2b
2035867315538868480,有人吗？,586.781,1769785496,a1ecea2b
2035877486876754176,没有最绝望 只有更绝望 ,527.24,1769786708,7f16c40c
2036578358951298560,逃逸塔呢快救一下啊,481.642,1769870259,cc0c7a7
2036585267347383040,这个是航天飞机隔热照前方的一块泡沫板脱落撞击到格拉瓦格瓦脱落，再返回时爆炸,550.116,1769871082,4f7e03e6
2036585751798140928,这个其实这种故障在以前飞行就已经出现过，不过以前没有出现故障，但是哥伦比亚好爆炸啊,590.393,1769871140,4f7e03e6
2036585991057976320,回复前面的波音公司也有做过火箭,608.398,1769871169,4f7e03e6
2036586313272693248,国会没钱，所以不能让他们在轨道上等待救援,625.209,1769871207,4f7e03e6
2036586543992975616,要是航天飞机有逃逸系统就好了,636.046,1769871235,4f7e03e6
2038792561258303744,就知道有挑战者,375.869,1770134212,89509f75
2038794937885328384,＜播音只是成交了这个项目，并不是说他们照过很多次火箭,607.313,1770134496,89509f75
2042018244998729984,解体了,378.213,1770518744,a8edc489
2044583919571445248,这是助推器，出大气层前就会分离,428.18,1770824596,c7b3ac2f
2044639971260442368,弹幕为什么没有联盟一号多了？,448.469,1770831278,1aa41f3
2046594036525772544,不愿意推迟几天，结果不得不推迟更多，人才,529.043,1771064221,94736074
2050729004017393920,666还带着火箭,683.309,1771557147,e929a220
2050856597227670784,六六六太绝望了,491.113,1771572357,a822b733
2051018296169444096,看似一样 但是美国是来自下面的压力 苏联是来自上面的压力,463.396,1771591633,f10fd19f
2051169022368228864,鬼冢？？,395.46,1771609601,cda26daa
2052960108027675392,所以设计师提出的问题都是一个隐患,450.068,1771823115,8efe32ac
2052961033777887744,叒一批受害者,548.542,1771823226,8efe32ac
2055171087977397760,有,435.269,1772086685,d1acc223
2057371046713303040,美国纳税人不想白花钱，苏联高官要维持统治，没办法，但是也让开拓者的执着更加可贵,475.026,1772348940,7aa810ad
2057688052058476544,有用，舱内宇航服就是为了避免这种问题的,360.032,1772386730,68e4c41d
2061585068556229888,密封圈老化了,381.764,1772851291,3146f9e0
2061813032812131328,《伟大的悲剧》是斯科特前往南极点的故事，被阿蒙森打败并葬身的事情..,409.615,1772878466,e6db82a4
2062051779373336576,那就算不能修，看都不让看吗,621.845,1772906927,d4778955
2067473267585143040,8下物理书上有,471.948,1773553219,c6daa5b0
2072494107883829248,差不多一个人头大的破损，区区一个人头大的破损却能造成航天飞机的重大损失,632.558,1774151750,bc352524
2072641500407574272,朱…朱迪！？尼克！？（疯狂动物城误入）,393.39,1774169320,b48edb41
2081406816616685568,压力给到宇航员,442.657,1775214227,230294c2
2081487878596446976,现在没有经典美国了？,452.822,1775223891,8c333d02
2081534860521987584,准确来说是低压导致的体液沸腾,365.02,1775229491,3c4a05bd
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
1970191963789502464,马赫怎么能是加速度？,876.653,1761956384,a0e45086
1974244609643081472,这里没有入,721.236,1762439497,83cde66d
1974453937332004352,亚轨道（20km以上，卡门线以下）,763.965,1762464451,f5943bf6
1975489803894288640,25.9千克？,795.015,1762587936,429b37a2
1990783773927113216,没错，在机翼受损时首先就会因受力不均衡而翻滚,732.635,1764411119,88455f98
2004424241328054272,跳伞可以吗,842.611,1766037189,d0f367f0
2014740125279944960,亚轨道指的不是轨道高度，是形状。亚轨是抛物线形的，无法环绕地球，轨道是圆形或者椭圆形,770.403,1767266938,39195be4
2014741897289553152,阿波罗一号是地面测试,887.71,1767267150,39195be4
2016169080696162560,我思故我在,737.112,1767437283,cc9f549d
2016170513109808896,《陨石坑》,897.672,1767437454,cc9f549d
2050119285317411840,你再说一遍他以超过夺少千米每小时的速度在空中以什么姿态飞行？,867.072,1771484463,ca14b1ee
2072494810161356800,技术验证机,759.459,1774151833,bc352524
2080381479258528000,平流层已经没什么气体了，这点够了,793.475,1775091998,6542f583
2080381851276736256,我以为是迷你飞机呢，是25吨,809.685,1775092042,6542f583
2081231909887032832,70 多千米高跳了也死,845.355,1775193377,c51857fd
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
1969472048695119616,真男人,57.756,1761870563,2297cbd8
1969472107029712896,真男人,59.481,1761870570,2297cbd8
1969476753353887488,真男人,61.442,1761871124,6e18c01a
1969536422847995392,世界上第1个进入太空的人。,27.684,1761878237,4810d75f
1969554497479662848,致敬,1.588,1761880392,c34c329c
1969570508958294528,后来也规定返回途中全程穿着宇航服,338.774,1761882301,eb76b9f6
1969584938144191744,牛逼啊，数百个问题，,192.549,1761884021,3f77b6cf
1969589330586568704,毕竟第一次飞向太空，人员死亡很正常的,353.779,1761884544,cbe895e3
1969618373298362368,夺少？,33.16,1761888006,1857c91d
1969659477762829824,弗拉基米尔怎么不开血池,321.912,1761892906,a074fe1d
1969714428329321984,这才是真男人。,67.141,1761899457,e068822f
1969717248377977856,苏联经典，简单粗暴。,197.737,1761899793,fdd4567b
1969721744554391808,所以我们这些年一直都是小步慢跑,57.384,1761900329,76dad097
1969721837181292032,经典,45.801,1761900340,bdd56970
1969773281787704064,才开始担忧么？,95.808,1761906473,7ccdf04a
1969835604263537408,啥？这玩意也跟粗粮有关？,21.637,1761913902,b5594b72
1969838008060812544,“陨石坑”,167.956,1761914189,da6044ad
1969843302748974592,塔科夫圣经,157.407,1761914820,b5430f0b
1969843991721796864,夺少？！,33.43,1761914902,6b771911
1969845581882954240,至少证明返回仓可以短时间内自动运行,357.326,1761915092,6b771911
1969865791180792576,经典,45.039,1761917501,51f30a3
1969871244229053184,致敬英雄!科马罗夫!,7.1,1761918151,2c1845eb
1969871780361484544,一共203个,38.76,1761918215,2c1845eb
1969872402905360896,太阳能板打不开,82.36,1761918289,2c1845eb
1969873380245028352,他操控飞船5个小时步入正轨这是完全没教过的,118.39,1761918406,2c1845eb
1969873900305539840,好像是打不开,146.802,1761918468,2c1845eb
1969888202924175616,？,313.045,1761920173,819c2bb5
1969910664713592320,这纯粹是先驱者的牺牲了,356.833,1761922850,55395003
1969914391520715264,为人类的航天事业发展的英雄！,316.356,1761923295,fc54e6fc
1969919614712744960,真男人,82.62,1761923917,1613c99b
1969941920390668288,所以刚才那个中间的人是一个思考的表情,223.88,1761926576,b542aec2
1969950970658206208,危险的发型,46.931,1761927655,d1a7e00f
1969952985551957760,不好！,300.819,1761927895,9f6432f7
1969960403010670848,所以现在的飞船宇航服都是穿到落地的,347.725,1761928780,7fee001
1969963196685693696,？,315.991,1761929113,3f2e9de5
1970017392780909824,还行，他知道自己没有做错任何事，至少荣誉是完整的。比小数点那位好多了,150.1,1761935573,c59a1406
1970057104635087104,太讽刺了,49.385,1761940307,11950a8e
1970058022676338176,没穿宇航服，也是给后人留了个教训,348.263,1761940417,33ff4c3d
1970137188385692416,这是真先驱者,233.907,1761949854,5581b741
1970184547220619008,所以说没有金刚钻别拦瓷器活,176.65,1761955500,140f994
1970186540337000448,真男人,68.181,1761955737,fde753ce
1970195883904184576,苏联这么搞不可能赢老美的人家那边要考虑群众反应苏联这边只要控制消息就行,197.067,1761956851,26a9c69a
1970219367300207872,KSP行為,28.011,1761959651,6d6f5504
1970236227127534592,舍己为人,56.98,1761961660,d502a3a7
